,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
22680,27,37,4.7742916649440303e-05,c,9.346610454485926e-07,36,0.9979702830314636,2,0.9999359846115112,4889
22681,51,53,5.481336059054047e-27,c,1.5206440582189334e-34,52,1.0,F,1.0,4889
22682,43,56,3.4948718621308217e-06,c,7.328003537310224e-09,55,0.9997205138206482,3,0.9999963045120239,4889
22683,4,7,0.11873123049736023,N,0.5531764030456543,3,0.5531764030456543,N,0.25495854020118713,4890
22684,10,12,0.00835384614765644,C,0.054217629134655,11,0.8971664905548096,O,0.8971664905548096,4890
22685,23,25,0.0003760339750442654,c,1.9882654669345357e-05,3,0.9708057045936584,N,0.0286051407456398,4890
22686,9,12,1.4084337639035365e-14,C,1.0697348481954373e-20,11,1.0,O,1.0,4891
22687,14,24,0.002220998052507639,C,0.00020262192992959172,23,0.9864727258682251,1,0.9960530400276184,4891
22688,27,30,0.0037488238885998726,C,7.615295771756792e-08,29,0.9960407018661499,O,0.9960407018661499,4891
22689,33,35,0.08842776715755463,C,5.234765922068618e-06,34,0.8661150336265564,C,0.8661150336265564,4891
22690,36,38,0.5702481269836426,),0.003385846270248294,36,0.5702481269836426,(,0.2970655858516693,4891
22691,6,40,6.652791398664704e-06,C,2.59536341218336e-06,24,0.6894694566726685,),0.9999870657920837,4891
22692,42,45,7.057206110726993e-14,C,3.1274918765866744e-10,44,0.991287887096405,O,0.9912898540496826,4891
22693,52,54,2.1132569600013085e-05,N,6.094511562082516e-09,50,0.9995834231376648,C,0.00039530140929855406,4891
22694,48,56,0.0001305871264776215,C,4.741022516234331e-20,50,0.9992602467536926,C,0.9998694062232971,4891
22695,58,61,8.615304523118539e-07,C,4.152782651090092e-08,60,0.9917717576026917,O,0.9999990463256836,4891
22696,69,71,1.1505323271876478e-07,S,9.529425005894154e-05,70,0.9999046325683594,C,0.9999046325683594,4891
22697,72,75,1.898601396604619e-23,),4.44896448515436e-25,74,0.9796344637870789,O,0.9796344637870789,4891
22698,64,78,8.373240306197449e-17,C,1.3078270540017221e-24,77,1.0,O,1.0,4891
22699,81,83,1.0,C,2.896128314962355e-20,81,1.0,(,9.736700649302238e-14,4891
22700,7,17,5.558928023674525e-06,C,2.6579713448882103e-05,16,0.9998912811279297,1,0.9999382495880127,4892
22701,19,22,0.00018808734603226185,C,0.49541357159614563,21,0.5040028691291809,O,0.5040116310119629,4892
22702,31,34,0.0002649543166626245,C,8.238270311267115e-06,33,0.9992384910583496,O,0.9996668100357056,4892
22703,4,36,1.4577503293367045e-07,C,3.8706556182432905e-08,35,0.9995310306549072,O,0.9999997615814209,4892
22704,43,53,1.5715379049652256e-05,c,2.7659871193463914e-07,52,0.9948049187660217,2,0.9949271082878113,4892
22705,7,10,5.74552541365847e-06,C,5.230673671974273e-09,9,0.9999903440475464,O,0.9999909996986389,4893
22706,23,25,0.000770301150623709,c,4.558104774332605e-05,2,0.816102147102356,O,0.03494492173194885,4893
22707,27,29,0.012533653527498245,c,0.0009737338405102491,28,0.9844207167625427,C,0.9844207167625427,4893
22708,31,33,0.00040543192881159484,c,0.0011873539770022035,32,0.995079517364502,C,0.995079517364502,4893
22709,17,36,3.424643748050445e-18,c,3.3529596493187918e-21,35,1.0,3,1.0,4893
22710,39,41,0.006453145295381546,n,0.4304337799549103,40,0.5630600452423096,C,0.5630600452423096,4893
22711,3,5,0.18591520190238953,N,0.34384769201278687,2,0.34384769201278687,N,0.22154000401496887,4894
22712,7,10,9.413715247319487e-07,C,1.7684159258485321e-12,9,0.9999990463256836,O,0.9999990463256836,4894
22713,28,37,2.9995760649631498e-12,c,3.434648805601334e-14,34,0.9999969005584717,[nH],1.0000001192092896,4894
22714,17,42,6.532700812592052e-13,c,5.225242913592214e-15,41,0.9831432700157166,3,1.0,4894
22715,10,16,7.048970647267644e-21,c,4.256296212086034e-21,2,1.0,#,1.9700851193460434e-12,4895
22716,9,12,3.0788569915785047e-07,C,2.4895769001886947e-06,11,0.9999816417694092,O,0.9999868273735046,4896
22717,7,21,0.001224449835717678,c,0.00027558254078030586,5,0.9591365456581116,s,0.03795482590794563,4896
22718,23,25,3.740882675629109e-05,c,0.0007485511596314609,24,0.9860614538192749,C,0.9860614538192749,4896
22719,12,15,3.09755232592579e-05,C,1.4103150591804336e-10,14,0.9999690055847168,O,0.9999690055847168,4897
22720,30,32,0.008006148971617222,C,0.0010733071248978376,31,0.988958477973938,O,0.988958477973938,4897
22721,10,35,2.947211896753288e-07,c,1.6682971448744865e-08,25,0.9607163071632385,N,0.9999988079071045,4897
22722,5,8,3.697824164927699e-12,C,5.313127981704886e-16,7,1.0,O,1.0,4898
22723,16,18,1.380295598511363e-27,[S+],1.0,15,1.0,[S+],1.1223233799548967e-25,4898
22724,13,20,0.0,C,0.0,19,1.0,[O-],1.0,4898
22725,23,26,8.069205748029162e-09,C,5.861482410551844e-09,25,0.9480361938476562,O,0.9481579661369324,4898
22726,3,5,0.13645480573177338,C,0.07266402989625931,4,0.6913765668869019,C,0.6913765668869019,4899
22727,12,15,2.522063596188673e-06,C,1.327839438403089e-08,14,0.9999973773956299,O,0.9999974966049194,4899
22728,39,41,5.588705297598954e-25,c,2.068774483173736e-28,40,1.0,Cl,1.0,4899
22729,10,45,6.786391381578133e-14,c,1.6945102479927303e-14,44,0.9999998807907104,4,1.0,4899
22730,47,55,0.9655408263206482,c,1.1410445921455903e-08,47,0.9655408263206482,(,0.034171976149082184,4899
22731,18,20,0.0025975913740694523,c,0.0012374169891700149,19,0.9679152369499207,O,0.9679152369499207,4900
22732,23,25,0.007894570007920265,c,0.0001817419979488477,24,0.9904143810272217,O,0.9904143810272217,4900
22733,7,32,7.239034946569106e-15,c,1.4999863999745253e-15,31,0.9999995231628418,O,0.9999999403953552,4900
22734,34,36,7.140200750654913e-07,c,1.885575784399407e-07,29,0.5447428226470947,2,0.0009224104578606784,4900
